name
앨런 시어러
로이 킨
폴 스콜스
데이비드 베컴
솔 캠벨
제이-제이 오코차
후이 코스타
호베르투 카를루스
하비에르 사네티
A. 델피에로
알레산드로 네스타
파올로 말디니
로베르토 바조
마르셀 드사이
파비오 칸나바로
잔프랑코 졸라
클라렌스 세이도르프
지네딘 지단
파트리크 비에이라
로베르 피레스
에마뉘엘 프티
티에리 앙리
클로드 마켈렐레
올레 군나르 솔샤르
미하엘 발락
데니스 베르캄프
젠나로 가투소
히바우두
H. 스토이치코프
카푸
잔루카 잠브로타
마이클 오언
프랭크 램파드
카시야스
루이스 피구
야리 리트마넨
P. 클라위베르트
다비드 트레제게
파벨 네드베드
프레디 융베리
리오 퍼디난드
에르난 크레스포
베론
안드레아 피를로
로빈 반페르시
사뮈엘 에토
뤼트 반니스텔로이
차비
미로슬라프 클로제
카를레스 푸욜
안드리 셰우첸코
나카타 히데토시
스티븐 제라드
야야 투레
리켈메
호나우지뉴
디디에 드로그바
애슐리 콜
호나우두
박지성
샤비 알론소
라울
마이클 에시앙
페트르 체흐
페르난도 토레스
에드윈 반데르사르
헨릭 라르손
웨인 루니
필립 람
B. 슈바인슈타이거
카카
네마냐 비디치
루이스 에르난데스
프랑크 리베리
페르난도 이에로
게오르게 하지
우고 산체스
지쿠
프랑코 바레시
카를루스 아우베르투
에릭 칸토나
로날트 쿠만
펠레
보비 무어
요한 크루이프
소크라테스
게르트 뮐러
페터 슈마이켈
로타어 마테우스
차범근
부트라게뇨
마르코 반바스텐
프랑크 레이카르트
루드 굴리트
파울루 푸트리
게리 리네커
다보르 슈케르
미카엘 라우드루프
로랑 블랑
조지 베스트
보비 찰턴
에우제비우
존 반스
가린샤
케니 달글리시
이언 러시
이언 라이트
페렌츠 푸스카스
자이르지뉴
데이비드 시먼
로비 파울러
라이언 긱스
게리 네빌
테디 셰링엄
옌스 레만
크리스티안 비에리
필리포 인자기
제이미 캐러거
M. 오베르마르스
비토르 바이아
알렉시 랄라스
데쿠
파울레타
안드레아스 브레메
프랑크 더부르
슈테판 에펜베르크
올리버 비어호프
브리안 라우드루프
카를로스 발데라마
레프 야신
과르디올라
이니에스타
올리버 칸
잔루이지 부폰
페르난도 모리엔테스
야프 스탐
랜던 도노번
아리언 로번
얀 콜러
크리스티아누 호날두
마이클 캐릭
Z. 이브라히모비치
호아킨
티아고 모타
